run set,boolector.boolector,boolector.boolector,boolector.boolector,boolector.boolector,cvc4.cvc4,cvc4.cvc4,cvc4.cvc4,cvc4.cvc4,q3b.q3b,q3b.q3b,q3b.q3b,q3b.q3b,z3.z3,z3.z3,z3.z3,z3.z3
../benchmarks/bv/,status,cputime (s),walltime (s),memUsage,status,cputime (s),walltime (s),memUsage,status,cputime (s),walltime (s),memUsage,status,cputime (s),walltime (s),memUsage
2018-Preiner-cav18/check_bvsge_bvconcat0_34_32bit.smt2,unsat,0.045940774,0.03116769700000077,1802240,unsat,0.047131627,0.04910378798376769,6537216,unsat,0.031250631,0.032156172004761174,31055872,unsat,0.009763902,0.024440795000032267,2613248
2018-Preiner-cav18/check_bvsge_bvconcat0_4_4bit.smt2,unsat,0.007541818,0.009227413000019169,782336,unsat,0.006256125,0.008647647977340966,1294336,unsat,0.035507381,0.04304086999036372,30920704,unsat,0.007372932,0.017074983999975757,2088960
2018-Preiner-cav18/check_bvsge_bvconcat0_62_4bit.smt2,unsat,0.126566798,0.0903184080000301,2510848,unsat,0.127265474,0.12975517200538889,12963840,unsat,0.04141673,0.041181198990670964,31711232,unsat,0.00988978,0.01887215900001138,3002368
2018-Preiner-cav18/check_bvsge_bvconcat0_64_64bit.smt2,unsat,0.19617954,0.11205605099996774,2949120,unsat,0.158071905,0.1602975699934177,15716352,unsat,0.083716805,0.06468277699605096,38133760,unsat,0.012609746,0.03694761999997809,3399680
2018-Preiner-cav18/check_bvsge_bvconcat1_2_64bit.smt2,unsat,0.031608263,0.04317683300001818,1740800,unsat,0.009765511,0.011902136960998178,2473984,unsat,0.051883834,0.0561485049984185,24072192,unsat,0.026537293,0.053983110999979544,2867200
2018-Preiner-cav18/check_bvsge_bvconcat1_32_32bit.smt2,unsat,0.049109289,0.035521333000019695,1658880,unsat,0.01014823,0.013095090980641544,2605056,unsat,0.042545583,0.032160485003259964,30793728,unsat,0.012253892,0.018017374000010022,2609152
2018-Preiner-cav18/check_bvsge_bvconcat1_34_32bit.smt2,unsat,0.050169331,0.033435175000022355,1654784,unsat,0.009957719,0.012056199018843472,2605056,unsat,0.032764261,0.03304164700966794,26337280,unsat,0.012635849,0.029052378000017143,2740224
2018-Preiner-cav18/check_bvsge_bvconcat1_4_4bit.smt2,unsat,0.008273242,0.009161613000003399,909312,unsat,0.017672204,0.026795631041750312,1163264,unsat,0.036164117,0.04039368699886836,21454848,unsat,0.006610053,0.013092490999952133,2088960
2018-Preiner-cav18/check_bvsge_bvconcat1_62_4bit.smt2,unsat,0.054940217,0.041027287000019896,1425408,unsat,0.016604566,0.019546226016245782,2736128,unsat,0.035916984,0.040599944011773914,30793728,unsat,0.023058038,0.05197393399998873,2478080
2018-Preiner-cav18/check_bvsge_bvconcat1_64_64bit.smt2,unsat,0.072971896,0.062404031000028226,2686976,unsat,0.015318616,0.01731159002520144,3915776,unsat,0.075840722,0.04888654600654263,37609472,unsat,0.030656759,0.03695607999998174,3268608
2018-Preiner-cav18/check_bvsge_bvlshr0_32bit.smt2,unsat,0.156619974,0.08750286200000801,4448256,unsat,0.048104891,0.05461307702353224,4313088,unsat,0.058884524,0.039647604993660934,31055872,unsat,0.030822481,0.06578745500002015,4579328
2018-Preiner-cav18/check_bvsge_bvlshr0_4bit.smt2,unsat,0.01855815,0.01943335300001081,1171456,unsat,0.010328363,0.021573407982941717,1298432,unsat,0.02542511,0.030897750999429263,25419776,unsat,0.006456467,0.01751403000002938,2084864
2018-Preiner-cav18/check_bvsge_bvlshr0_64bit.smt2,unsat,0.292807608,0.16458599100002402,6459392,unsat,0.180664076,0.18556277500465512,8372224,unsat,0.381047329,0.20420256999204867,43507712,unsat,0.505942185,0.513463919000003,19382272
2018-Preiner-cav18/check_bvsge_bvlshr1_32bit.smt2,unsat,0.217639108,0.12391281499998286,4771840,unsat,0.080407539,0.0835738719906658,9293824,unsat,0.029206993,0.02426530999946408,30138368,unsat,0.015849571,0.030997447000004286,2871296
2018-Preiner-cav18/check_bvsge_bvlshr1_4bit.smt2,unsat,0.009581076,0.00868992599998819,1024000,unsat,0.012737042,0.015750888967886567,1687552,unsat,0.036671869,0.050574866007082164,23289856,unsat,0.005906794,0.01325545599996758,2084864
